title,artist,added
Ensalada (Explicit),"Freddie Gibbs, The Alchemist, Anderson .Paak",Brandon Pyser
Oh My God,A Tribe Called Quest,DooDooStainMcClain
Mathematics (Explicit),Mos Def,gregadams55
Nickel Bags,Digable Planets,DooDooStainMcClain
Sound of da Police,KRS-One,YaLadyK
Just A Lil Bit Flip,Star Monster,BackDatAshUp
Hand On the Pump (Explicit),Cypress Hill,JFLBridge
Rebirth Of Slick (Cool Like Dat),Digable Planets,gregadams55
Party On Fifth Ave. (Explicit),Mac Miller,Slattery
Release Yo' Delf (Explicit),Method Man,Ann Redg8
Let's Get High (Explicit),"Dr. Dre, Hittman, Ms. Roq, Kurupt",Dayton
Paid In Full,Eric B. & Rakim,JFLBridge
Doo Wop (That Thing) (Edit),Lauryn Hill,BackDatAshUp
Back From Hell (Explicit),RUN-DMC,Dayton
Give Me One Reason,Tracy Chapman,BackDatAshUp
Scary Monsters and Nice Sprites,Skrillex,JFLBridge
Dopamine [missed moMINTs version],Tobe Nwigwe,jordanhurstspotify
Methane Gas (Explicit),Token,Slattery
Case Closed (Explicit),"Young Dolph, Key Glock",Marcus McBride
Pistol Grip Pump (Explicit),Volume 10,Chuck DanTana
BAD SIDE (Explicit),"86love, The Kids, Tinywiings",Slattery
Come Down (Explicit),Anderson .Paak,jordanhurstspotify
Outside (Explicit),Bryson Tiller,coffeecurls84
Galang,M.I.A.,johnnyrandomwalker
Riders On The Storm (Fredwreck Remix),"Snoop Dogg, The Doors",YaLadyK
