title,artist,added
Mess You Made (Explicit),"Sean Price, Block McCloud",flaco_kream
Liberty (Explicit),Alumni Cloud,jordanhurstspotify
I'm Free (Explicit),Soul Position,jordanhurstspotify
Beware (Explicit),Big Pun,Cali_Sober
BUNCH,King Cruff,Dr Fiddleballs
Wanna Be A Baller (Explicit),Lil' Troy,raclij
Drop It Like It's Hot (Explicit),"Snoop Dogg, Pharrell Williams",JFLBridge
Grown Up (Explicit),Danny Brown,Slattery
NEW YORK (CONCEPT DE PARIS) (Explicit),"JAY Z, Gil Scott-Heron",CMac
Check the Rhime,A Tribe Called Quest,Cali_Sober
